0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,733,733,733,733,733,733,733,733,733,733,733,733,693,619,201,77,119,196,297,398,460,545,633,583,658,620,733,570,733,617,733,733,513,407,459,608,733,481,733,473,733,424,733,242,554,331,506,220,571,173,600,26,688,708,2,162,610,733,723,120,733,724,733,733,644
733,0,733,733,733,733,733,733,733,733,733,733,733,578,558,371,517,560,418,317,241,147,364,491,432,518,478,733,401,733,464,733,733,310,246,219,534,7,386,95,340,134,321,144,733,332,733,286,733,396,733,397,733,569,615,733,733,451,733,262,704,733,680,733,733,498
733,733,0,733,733,733,733,733,733,733,733,733,733,136,371,733,70,108,303,208,67,111,254,402,320,455,379,733,290,733,365,733,733,202,71,733,342,733,129,733,131,733,83,733,11,733,733,177,733,285,733,5,733,121,184,733,733,348,733,651,470,733,657,733,733,420
733,733,733,0,733,733,733,733,733,733,733,733,733,42,517,70,733,733,488,415,225,302,452,532,493,573,526,733,480,733,516,733,733,406,237,733,502,733,326,733,329,733,256,733,93,733,733,376,733,472,58,733,733,36,68,733,733,507,733,699,328,733,707,733,733,549
733,733,733,733,0,733,733,733,733,733,733,733,733,73,560,108,733,733,521,461,296,367,495,576,528,618,564,733,511,733,555,733,733,456,301,733,537,733,387,733,389,733,322,733,139,733,733,437,733,508,91,733,733,65,105,733,733,541,733,712,388,733,714,733,733,592
733,733,733,733,733,0,733,733,733,733,733,733,733,536,417,303,488,521,733,31,178,247,250,394,311,447,375,733,283,733,360,733,733,194,733,113,382,733,271,733,126,733,205,733,733,267,38,733,4,733,733,334,733,529,182,733,733,12,733,667,467,733,654,733,733,416
733,733,733,733,733,733,0,733,733,733,733,733,733,490,317,208,415,462,31,733,96,151,155,298,212,354,274,733,188,733,259,733,733,109,733,57,288,733,175,733,64,733,118,733,733,169,8,733,733,23,733,235,733,477,275,733,733,39,733,626,524,733,611,733,733,316
733,733,733,733,733,733,733,0,733,733,733,733,733,330,240,67,225,296,178,96,733,40,133,268,191,333,252,733,163,733,238,733,733,92,21,733,209,733,49,733,51,733,30,733,733,46,733,78,733,160,733,81,733,306,377,733,733,216,733,579,582,733,594,733,733,292
733,733,733,733,733,733,733,733,0,733,733,733,733,400,147,111,302,368,248,152,40,733,198,345,261,408,323,733,232,733,307,733,733,146,43,733,127,733,22,733,88,733,733,13,733,84,733,125,733,224,733,132,733,381,446,733,733,289,733,525,629,733,636,733,733,362
733,733,733,733,733,733,733,733,733,0,733,733,733,509,364,254,452,496,251,155,133,197,733,44,18,75,37,733,10,733,34,733,14,733,733,82,338,733,221,733,89,733,159,733,733,213,733,128,733,229,733,282,733,501,531,733,733,293,733,650,673,733,405,733,733,53
