name1,id1,name2,id2,distance
四十里店至京藏四十里店枢纽门架,780011,四十里店枢纽到银川北枢纽门架,780013,3393.48
银川北枢纽到四十里店枢纽门架,790014,京藏四十里店枢纽至四十里店门架,790012,3393.48
四十里店枢纽到银川北枢纽门架,780013,银川北枢纽到贺兰山路收费站门架,780019,12299.42
贺兰山路收费站到银川北枢纽门架,79001A,银川北枢纽到四十里店枢纽门架,790014,12299.42
银川北枢纽到贺兰山路收费站门架,780019,贺兰山路收费站到银川东枢纽门架,78001B,3210.45
银川东枢纽到贺兰山路收费站门架,79001C,贺兰山路收费站到银川北枢纽门架,79001A,3210.45
贺兰山路收费站到银川东枢纽门架,78001B,银川东枢纽到白鸽枢纽门架,78001D,8856.04
白鸽枢纽到银川东枢纽门架,79001E,银川东枢纽到贺兰山路收费站门架,79001C,8856.04
贺兰山路收费站到银川东枢纽门架,78001B,银川东枢纽到掌政枢纽门架,780079,7813.68
掌政枢纽到银川东枢纽门架,79007A,银川东枢纽到贺兰山路收费站门架,79001C,7813.68
白鸽枢纽到银川东枢纽门架,79001E,银川东枢纽到掌政枢纽门架,780079,4877.34
掌政枢纽到银川东枢纽门架,79007A,银川东枢纽到白鸽枢纽门架,78001D,4877.34
银川东枢纽到白鸽枢纽门架,78001D,白鸽枢纽到望远枢纽门架,78001F,3317.81
望远枢纽到白鸽枢纽门架,790020,白鸽枢纽到银川东枢纽门架,79001E,3317.81
白鸽枢纽到望远枢纽门架,78001F,望远枢纽到永宁收费站门架,780021,10380.7
永宁收费站到望远枢纽门架,790022,望远枢纽到白鸽枢纽门架,790020,10380.7
掌政枢纽到望远枢纽门架,780063,望远枢纽到永宁收费站门架,780021,12827.09
永宁收费站到望远枢纽门架,790022,望远枢纽到掌政枢纽门架,790064,12827.09
望远枢纽到掌政枢纽门架,790064,掌政枢纽到银川东枢纽门架,79007A,4417.16
银川东枢纽到掌政枢纽门架,780079,掌政枢纽到望远枢纽门架,780063,4417.16
望远枢纽到掌政枢纽门架,790064,掌政枢纽到石坝枢纽门架,78007B,8889.9
石坝枢纽到掌政枢纽门架,79007C,掌政枢纽到望远枢纽门架,780063,8889.9
望远枢纽到掌政枢纽门架,790064,掌政枢纽到金贵南收费站门架,790062,7631.32
金贵南收费站到掌政枢纽门架,780061,掌政枢纽到望远枢纽门架,780063,7631.32
银川东枢纽到掌政枢纽门架,780079,掌政枢纽到金贵南收费站门架,790062,6841.52
金贵南收费站到掌政枢纽门架,780061,掌政枢纽到银川东枢纽门架,79007A,6841.52
银川东枢纽到掌政枢纽门架,780079,掌政枢纽到石坝枢纽门架,78007B,8100.1
石坝枢纽到掌政枢纽门架,79007C,掌政枢纽到银川东枢纽门架,79007A,8100.1
金贵南收费站到掌政枢纽门架,780061,掌政枢纽到石坝枢纽门架,78007B,11314.26
石坝枢纽到掌政枢纽门架,79007C,掌政枢纽到金贵南收费站门架,790062,11314.26
掌政枢纽到金贵南收费站门架,790062,金贵南收费站到金贵收费站门架,790060,5247.02
金贵收费站到金贵南收费站门架,78005F,金贵南收费站到掌政枢纽门架,780061,5247.02
金贵南收费站到金贵收费站门架,790060,金贵收费站到四十里店枢纽门架,79005E,2984.36
四十里店枢纽到金贵收费站门架,78005D,金贵收费站到金贵南收费站门架,78005F,2984.36
金贵收费站到四十里店枢纽门架,79005E,京藏四十里店枢纽至四十里店门架,790012,14828.39
四十里店至京藏四十里店枢纽门架,780011,四十里店枢纽到金贵收费站门架,78005D,14828.39
掌政枢纽到石坝枢纽门架,78007B,石坝枢纽到水洞沟门架,78007D,7900.05
水洞沟到石坝枢纽门架,79007E,石坝枢纽到掌政枢纽门架,79007C,7900.05
掌政枢纽到石坝枢纽门架,78007B,石坝枢纽到机场北门架,780067,4243.02
机场北到石坝枢纽门架,790068,石坝枢纽到掌政枢纽门架,79007C,4243.02
机场北到石坝枢纽门架,790068,石坝枢纽到水洞沟门架,78007D,7161.55
水洞沟到石坝枢纽门架,79007E,石坝枢纽到机场北门架,780067,7161.55
望远枢纽到永宁收费站门架,780021,永宁收费站到叶盛收费站门架,780023,22193.94
叶盛收费站到永宁收费站门架,790024,永宁收费站到望远枢纽门架,790022,22193.94
京藏四十里店枢纽至四十里店门架,790012,四十里店收费站到沙湖收费站门架,790010,14388.9
沙湖收费站到四十里店收费站门架,78000F,四十里店至京藏四十里店枢纽门架,780011,14388.9
石坝枢纽到机场北收费站门架,780067,机场北收费站到机场南收费站门架,780069,4363.31
机场南收费站到机场北收费站门架,79006A,机场北收费站到石坝枢纽门架,790068,4363.31
机场北收费站到机场南收费站门架,780069,机场南收费站到灵武北收费站门架,78006B,21221.5
灵武北收费站到机场南收费站门架,79006C,机场南收费站到机场北收费站门架,79006A,21221.5
石坝枢纽到水洞沟收费站门架,78007D,水洞沟收费站到宁东北枢纽门架,78007F,2612.41
宁东北枢纽到水洞沟收费站门架,790080,水洞沟收费站到石坝枢纽门架,79007E,2612.41
机场北收费站,in_106006,机场北至机场南上行门架,780069,488.13
机场南至机场北下行门架,79006A,机场北收费站,out_106006,488.13
机场北收费站,in_106006,机场北至银昆石坝枢纽下行门架,790068,1405.59
银昆石坝枢纽至机场北上行门架,780067,机场北收费站,out_106006,1405.59
机场南收费站,in_106007,机场南至机场北下行门架,79006A,3875.18
机场北至机场南上行门架,780069,机场南收费站,out_106007,3875.18
机场南收费站,in_106007,机场南至灵武北上行门架,78006B,17346.32
灵武北至机场南下行门架,79006C,机场南收费站,out_106007,17346.32
宁夏滨河新区收费站,in_102004,青银石坝枢纽至水洞沟上行门架,78007D,5523.36
水洞沟至青银石坝枢纽下行门架,79007E,宁夏滨河新区收费站,out_102004,5523.36
宁夏滨河新区收费站,in_102004,银昆石坝枢纽至机场北上行门架,780067,1866.33
机场北至银昆石坝枢纽下行门架,790068,宁夏滨河新区收费站,out_102004,1866.33
宁夏滨河新区收费站,in_102004,青银石坝枢纽至青银掌政枢纽下行门架,79007C,2604.83
青银掌政枢纽至青银石坝枢纽上行门架,78007B,宁夏滨河新区收费站,out_102004,2604.83
宁夏银川东收费站,in_101001,青银银川东枢纽至青银掌政枢纽上行门架,780079,3512.8
